,codigo,nombre
0,101,PLAZA DE CASTILLA
1,102,VALDEACEDERAS
2,103,TETUAN
3,104,ESTRECHO
4,105,ALVARADO
5,106,CUATRO CAMINOS
6,107,RIOS ROSAS
7,108,IGLESIA
8,109,BILBAO
9,110,TRIBUNAL
10,111,GRAN VIA
11,112,SOL
12,113,TIRSO DE MOLINA
13,114,ANTON MARTIN
14,115,ESTACION DEL ARTE
15,116,ATOCHA
16,117,MENENDEZ PELAYO
17,118,PACIFICO
18,119,PUENTE DE VALLECAS
19,120,NUEVA NUMANCIA
20,121,PORTAZGO
21,122,BUENOS AIRES
22,123,ALTO DEL ARENAL
23,124,MIGUEL HERNANDEZ
24,125,SIERRA DE GUADALUPE
25,126,VILLA DE VALLECAS
26,127,CONGOSTO
27,128,LA GAVIA
28,129,LAS SUERTES
29,130,VALDECARROS
30,151,CHAMARTIN
31,152,BAMBU
32,153,PINAR DE CHAMARTIN
33,201,VENTAS
34,202,MANUEL BECERRA
35,203,GOYA
36,204,PRINCIPE DE VERGARA
37,205,RETIRO
38,206,BANCO DE ESPAÑA
39,207,SEVILLA
40,209,OPERA
41,210,SANTO DOMINGO
42,211,NOVICIADO
43,212,SAN BERNARDO
44,213,QUEVEDO
45,214,CANAL
46,251,LA ELIPA
47,252,LA ALMUDENA
48,253,ALSACIA
49,254,AVENIDA DE GUADALAJARA
50,255,LAS ROSAS
51,301,LEGAZPI
52,302,DELICIAS
53,303,PALOS DE LA FRONTERA
54,304,EMBAJADORES
55,305,LAVAPIES
56,307,CALLAO
57,308,PLAZA DE ESPAÑA
58,309,VENTURA RODRIGUEZ
59,310,ARGÜELLES
60,311,MONCLOA
61,351,ALMENDRALES
62,352,HOSPITAL 12 DE OCTUBRE
63,353,SAN FERMIN-ORCASUR
64,354,CIUDAD DE LOS ANGELES
65,355,VILLAVERDE BAJO-CRUCE
66,356,SAN CRISTOBAL
67,357,VILLAVERDE ALTO
68,404,ALONSO MARTINEZ
69,405,COLON
70,406,SERRANO
71,407,VELAZQUEZ
72,409,LISTA
73,410,DIEGO DE LEON
74,411,AVENIDA DE AMERICA
75,412,PROSPERIDAD
76,413,ALFONSO XIII
77,414,AVENIDA DE LA PAZ
78,415,ARTURO SORIA
79,416,ESPERANZA
80,417,CANILLAS
81,418,MAR DE CRISTAL
82,419,SAN LORENZO
83,420,PARQUE DE SANTA MARIA
84,421,HORTALEZA
85,422,MANOTERAS
86,501,CANILLEJAS
87,502,TORRE ARIAS
88,503,SUANZES
89,504,CIUDAD LINEAL
90,505,PUEBLO NUEVO
91,506,QUINTANA
92,507,EL CARMEN
93,510,NUÑEZ DE BALBOA
94,511,RUBEN DARIO
95,513,CHUECA
96,517,LA LATINA
97,518,PUERTA DE TOLEDO
98,519,ACACIAS
99,520,PIRAMIDES
100,521,MARQUES DE VADILLO
101,522,URGEL
102,523,OPORTO
103,524,VISTA ALEGRE
104,525,CARABANCHEL
105,526,EUGENIA DE MONTIJO
106,527,ALUCHE
107,528,EMPALME
108,529,CAMPAMENTO
109,530,CASA DE CAMPO
110,551,EL CAPRICHO
111,552,ALAMEDA DE OSUNA
112,601,LAGUNA
113,602,CARPETANA
114,604,OPAÑEL
115,605,PLAZA ELIPTICA
116,606,USERA
117,608,ARGANZUELA-PLANETARIO
118,609,MENDEZ ALVARO
119,611,CONDE DE CASAL
120,612,SAINZ DE BARANDA
121,613,O´DONNELL
122,617,REPUBLICA ARGENTINA
123,618,NUEVOS MINISTERIOS
124,620,GUZMAN EL BUENO
125,621,VICENTE ALEIXANDRE
126,622,CIUDAD UNIVERSITARIA
127,625,PRINCIPE PIO
128,626,PUERTA DEL ANGEL
129,627,ALTO DE EXTREMADURA
130,628,LUCERO
131,701,LAS MUSAS
132,702,SAN BLAS
133,703,SIMANCAS
134,704,GARCIA NOBLEJAS
135,705,ASCAO
136,707,BARRIO DE LA CONCEPCION
137,708,PARQUE DE LAS AVENIDAS
138,709,CARTAGENA
139,711,GREGORIO MARAÑON
140,712,ALONSO CANO
141,714,ISLAS FILIPINAS
142,716,FRANCOS RODRIGUEZ
143,717,VALDEZARZA
144,718,ANTONIO MACHADO
145,719,PEÑAGRANDE
146,720,AVENIDA DE LA ILUSTRACION
147,721,LACOMA
148,722,ARROYOFRESNO
149,723,PITIS
150,751,ESTADIO METROPOLITANO
151,754,BARRIO DEL PUERTO
152,755,COSLADA CENTRAL
153,756,LA RAMBLA
154,757,SAN FERNANDO
155,758,JARAMA
156,759,HENARES
157,760,HOSPITAL DEL HENARES
158,802,COLOMBIA
159,803,PINAR DEL REY
160,805,FERIA DE MADRID
161,806,AEROPUERTO T1-T2-T3
162,807,BARAJAS
163,808,AEROPUERTO T-4
164,901,HERRERA ORIA
165,902,BARRIO DEL PILAR
166,903,VENTILLA
167,905,DUQUE DE PASTRANA
168,906,PIO XII
169,908,CONCHA ESPINA
