mes,EMT,cercanias,conc_carretera,metro
1,1244151.2365591398,502695.82795698923,758246.7741935484,1886196.935483871
2,1390326.3647058823,570636.8352941177,869840.0823529412,2108058.788235294
3,1324472.2043010753,541838.1720430107,820784.8387096775,2014220.7096774194
4,1330083.7555555555,534779.7888888889,819467.1111111111,1979677.1666666667
5,1348320.8494623655,526289.2365591398,817891.5913978495,1981921.6344086023
6,1421703.4333333333,543762.1888888889,816338.4777777778,1969779.4333333333
7,1188837.8924731184,450615.9569892473,686716.7204301076,1670142.2043010753
8,894458.2580645161,361078.2150537634,533840.0967741936,1258957.7096774194
9,1425271.3666666667,554344.5,856973.1888888889,1967349.3666666667
10,1482285.148148148,586376.2716049383,914854.8271604938,2153394.9135802467
11,1408487.7333333334,564929.6,897479.1,2125467.4166666665
12,1251852.435483871,507912.62903225806,766845.7258064516,1959341.2903225806
