OID_;OBJECTID;IDESTACION;FECHAACTUA;MODO;CODIGOESTA;DENOMINACI;SITUACION;CODIGOCTME;CODIGOEMPR;DENOMINA_1;MODOINTERC;CODIGOINTE;TIPO;CODIGOPROV;CODIGOMUNI;CODIGOENTI;CODIGONUCL;CODIGOVIA;TIPOVIA;PARTICULA;NOMBREVIA;TIPONUMERO;NUMEROPORT;CALIFICADO;CARRETERA;CODIGOPOST;DISTRITO;SECCIONCEN;BARRIO;TESELA;SECTORURBA;SECTOR;CORREDOR;CORONATARI;CORONA123;ZONATRANSP;ENCUESTADO;ENCUESTAAF;HOJA25000;ACONDICION;ACONDICI_1;FECHAALTA;FECHAINICI;FECHAFIN;X;Y;GRADOACCES;SITUACIONC;DENOMINA_2;INTERURBAN;INTERURB_1;LINEAS;POINT_Y;POINT_X
0;1;4_153;20240628;4;153;ARROYOFRESNO;I;153;722; ;0;;U;28;79;7901;;C0622;Calle;de;Federica Montseny;N;2; ; ;28035;8;1;81; ; ;;7;A;2;079-08-158;158; ; ;2;3;19990430;19990330; ;438581;4482705;T; ; ; ; ;7;40,49089827;-3,7260354
1;2;4_183;20240628;4;183;RIVAS URBANIZACIONES;S;183;924; ;92;318;U;28;123;12318;1231801;99999;Plaza;de;Galicia;N;5; ; ;28529;1;1;;T1231;1231801001;;3;B1;3;123-002;914; ; ;2;3;19990702;19990401; ;453645;4468818;T; ; ; ; ;9;40,3667715;-3,54727581
2;3;4_38;20240628;4;38;NOVICIADO;I;50;211; ;93;280;U;28;79;7901;790101;05386;Calle;de;San Bernardo;N;49; ; ;28015;1;1;11;T0798585;0790101A01;;5;A;1;079-01-007;7; ; ;2;3;19990405;19930701; ;440100;4475360;N; ; ; ; ;2, 3, 10;40,42484223;-3,70741904
3;4;4_199;20240628;4;199;LAGO;S;199;1013; ;93;254;U;28;79;7901;790101;40520;Ronda;del;Lago;N;3; ; ;28011;9;1;91;T0798278;0790101A01;;6;A;2;079-09-224;224; ; ;2;3;19990405;19930701; ;437699;4474444;T; ; ; ; ;10;40,41641411;-3,73563106
4;5;4_200;20240628;4;200;BATAN;S;200;1014; ;93;158;U;28;79;7901;790101;99999;Paseo;de la;Venta;N;1; ; ;28011;9;1;91;T0798323;0790101A01;;6;A;2;079-09-224;224; ; ;2;3;19990405;19930701; ;436208;4473507;T; ; ; ; ;10;40,40786021;-3,75310994
5;6;4_12;20240628;4;12;SOL;I;12;112; ;90;58;U;28;79;7901;790101;04980;Plaza;de la;Puerta del Sol;N;6; ; ;28013;1;119;16;T0799024;0790101560;1;5;A;1;079-01-014;14; ;solape;2;3;19990405;19930701; ;440446;4474473;T; ; ; ; ;1, 2, 3;40,41687606;-3,70326165
6;7;4_35;20240628;4;35;SOL;I;12;208; ;90;58;U;28;79;7901;790101;04980;Plaza;de la;Puerta del Sol;N;6; ; ;28013;1;119;16;T0799116;0790101560;1;5;A;1;079-01-014;14; ;solape;2;3;19990405;19930701; ;440446;4474470;T; ; ; ; ;1, 2, 3;40,41684746;-3,70326135
7;8;4_48;20240628;4;48;SOL;I;12;306; ;90;58;U;28;79;7901;790101;04980;Plaza;de la;Puerta del Sol;N;6; ; ;28013;1;119;16;T0799116;0790101560;1;5;A;1;079-01-014;14; ;solape;2;3;19990405;19930701; ;440446;4474466;T; ; ; ; ;1, 2, 3;40,41681647;-3,70326103
8;9;4_120;20240628;4;120;NUEVOS MINISTERIOS;I;120;618; ;90;71;U;28;79;7901;790101;05080;Calle;de;Raimundo Fernández Villaverde;N;67; ; ;28046;6;29;62;T0795339;0790101267;1;6;A;1;079-06-120;120; ;559-1;2;3;19990405;19930701; ;441392;4477767;T; ; ; ; ;6, 8, 10;40,44662122;-3,69240646
9;10;4_175;20240628;4;175;ESTRELLA;I;175;915; ;93;212;U;28;79;7901;790101;99999;Calle;del;Camino de los Vinateros;N;1; ; ;28030;14;1;141;T07911594;0790101A01;;3;A;2;079-14-379;379; ; ;2;3;19990405;19930701; ;443960;4473846;N; ; ; ; ;9;40,41147222;-3,66178527
10;11;4_193;20240628;4;193;NUEVOS MINISTERIOS;I;120;1007; ;90;71;U;28;79;7901;790101;05080;Calle;de;Raimundo Fernández Villaverde;N;67; ; ;28046;6;29;62;T0795339;0790101267;1;6;A;1;079-06-120;120; ;559-1;2;3;19990405;19980101; ;441392;4477763;T; ; ; ; ;6, 8, 10;40,44658547;-3,69240609
11;12;4_62;20240628;4;62;LISTA;I;62;409; ;93;259;U;28;79;7901;790101;01457;Calle;del;Conde de Peñalver;N;45; ; ;28006;4;1;41;T0798598;0790101A01;;1;A;1;079-04-072;72; ; ;2;3;19990405;19930701; ;442819;4475819;N; ; ; ; ;4;40,42916852;-3,67540982
12;13;4_185;20240628;4;185;LA POVEDA;S;185;927; ;93;251;U;28;14;1401;140101;99999;Parcela; ;9017 Polígono 1;SN;S/N; ; ;28500;1;1;;T014107;0140101001;;3;B3;3;014-001;886; ; ;2;3;19990702;19990407; ;459545;4463483;T; ; ; ; ;9;40,31901573;-3,47744735
13;14;4_101;20240628;4;101;EMPALME;S;101;528; ;93;205;U;28;79;7901;790101;08605;Calle;de;Tembleque;N;105; ; ;28024;10;1;101;T07911674;0790101A01;;5;A;2;079-10-254;254; ; ;2;3;20021120;20020901; ;435153;4471597;T; ; ; ; ;5;40,39057256;-3,76534788
14;15;4_265;20240628;4;265;MANOTERAS;I;265;422; ;93;264;U;28;79;7901;790101;00688;Calle;de;Bacares;N;24; ; ;28033;16;85;165;T0791763;0790101159;;1;A;2;079-16-442;442; ;559-2;2;3;20070410;20070101; ;443920;4481106;T; ; ; ; ;4;40,47687423;-3,66289548
15;16;4_269;20240628;4;269;SAN FERMIN-ORCASUR;I;269;353; ;93;331;U;28;79;7901;790101;00345;Avda;de;Andalucía;N;9; ; ;28041;12;100;123;T07914879;0790101826;;4;A;2;079-12-336;336; ;559-3;2;3;20070420;20070101; ;441175;4469263;T; ; ; ; ;3;40,36999093;-3,69417641
16;17;4_27;20240628;4;27;CONGOSTO;I;27;127; ;93;176;U;28;79;7901;790101;01480;Calle;del;Congosto;N;48; ; ;28031;18;21;181;T07914629;0790101783;;3;A;2;079-18-502;502; ;559-4;2;3;19990429;19930701; ;447573;4469481;T; ; ; ; ;1;40,37238237;-3,61884135
