,codigo,nombre,zona,media_miles,ranking
0,311,Moncloa,A,1732.67,1
1,112,Sol,A,1712.89,2
2,625,Príncipe Pío,A,1319.88,3
3,618,Nuevos Ministerios,A,1311.62,4
4,101,Plaza de Castilla,A,1273.37,5
5,411,Avenida de América,A,1012.03,6
6,308,Plaza de España,A,831.35,7
7,116,Atocha-Renfe,A,685.56,8
8,310,Argüelles,A,683.51,9
9,605,Plaza Elíptica,A,670.04,10
10,111,Gran Vía,A,654.56,11
11,301,Legazpi,A,648.35,12
12,609,Méndez Álvaro,A,644.53,13
13,523,Oporto,A,640.42,14
14,307,Callao,A,636.41,15
15,106,Cuatro Caminos,A,590.56,16
16,203,Goya,A,581.19,17
17,151,Chamartín,A,577.95,18
18,304,Embajadores,A,540.89,19
19,527,Aluche,A,505.03,20
20,1016,Colonia Jardín,A,504.52,21
21,209,Ópera,A,492.93,22
22,410,Diego de León,A,478.83,23
23,118,Pacífico,A,467.35,24
24,606,Usera,A,457.77,25
25,110,Tribunal,A,450.84,26
26,404,Alonso Martínez,A,449.21,27
27,104,Estrecho,A,427.2,28
28,611,Conde de Casal,A,419.87,29
29,355,Villaverde Bajo-Cruce,A,399.66,30
30,120,Nueva Numancia,A,385.95,31
31,109,Bilbao,A,361.08,32
32,505,Pueblo Nuevo,A,349.4,33
33,119,Puente de Vallecas,A,349.28,34
34,622,Ciudad Universitaria,A,347.21,35
35,802,Colombia,A,342.95,36
36,1002,Begoña,A,338.78,37
37,1006,Santiago Bernabéu,A,335.79,38
38,305,Lavapiés,A,334.23,39
39,153,Pinar de Chamartín,A,332.17,40
40,113,Tirso de Molina,A,331.19,41
41,202,Manuel Becerra,A,330.63,42
42,602,Carpetana,A,326.0,43
43,711,Gregorio Marañón,A,323.47,44
44,714,Islas Filipinas,A,316.08,45
45,521,Marqués de Vadillo,A,313.68,46
46,1220,Getafe Central,B1,313.15,47
47,357,Villaverde Alto,A,309.69,48
48,103,Tetuán,A,308.42,49
49,510,Núñez de Balboa,A,300.87,50
50,628,Lucero,A,299.8,51
51,302,Delicias,A,299.31,52
52,613,O´Donnell,A,290.66,53
53,517,La Latina,A,289.49,54
54,1019,Cuatro Vientos,A,286.91,55
55,507,El Carmen,A,282.43,56
56,1005,Cuzco,A,282.01,57
57,206,Banco de España,A,273.48,58
58,108,Iglesia,A,272.8,59
59,504,Ciudad Lineal,A,272.62,60
60,522,Urgel,A,268.53,61
61,626,Puerta del Ángel,A,263.76,62
62,354,Ciudad de los Ángeles,A,262.84,63
63,1021,Puerta del Sur,B1,262.72,64
64,418,Mar de Cristal,A,262.01,65
65,902,Barrio del Pilar,A,259.95,66
66,251,La Elipa,A,252.33,67
67,620,Guzmán el Bueno,A,252.28,68
68,201,Ventas,A,252.03,69
69,125,Sierra de Guadalupe,A,251.21,70
70,922,Puerta de Arganda,A,249.96,71
71,205,Retiro,A,249.96,72
72,758,Jarama,B1,246.43,73
73,759,Henares,B1,246.43,74
74,760,Hospital del Henares,B1,246.43,75
75,612,Sáinz de Baranda,A,240.08,76
76,102,Valdeacederas,A,237.58,77
77,524,Vista Alegre,A,235.28,78
78,115,Estación del Arte,A,234.59,79
79,214,Canal,A,234.22,80
80,351,Almendrales,A,231.35,81
81,213,Quevedo,A,230.22,82
82,114,Antón Martín,A,229.87,83
83,506,Quintana,A,229.22,84
84,353,San Fermín-Orcasur,A,227.63,85
85,501,Canillejas,A,226.75,86
86,303,Palos de la Frontera,A,226.03,87
87,121,Portazgo,A,225.38,88
88,604,Opañel,A,222.74,89
89,413,Alfonso XIII,A,218.31,90
90,525,Carabanchel,A,217.24,91
91,1214,Fuenlabrada Central,B2,215.34,92
92,716,Francos Rodríguez,A,214.31,93
93,806,Aeropuerto T1-T2-T3,A,214.01,94
94,212,San Bernardo,A,213.82,95
95,601,Laguna,A,211.79,96
96,1229,Leganés Central,B1,211.47,97
97,1206,Móstoles Central,B2,211.1,98
98,406,Serrano,A,210.8,99
99,204,Príncipe de Vergara,A,210.6,100
100,1203,Alcorcón Central,B1,209.74,101
101,124,Miguel Hernández,A,207.95,102
102,1221,Juan de la Cierva,B1,206.92,103
103,755,Coslada Central,B1,204.41,104
104,627,Alto de Extremadura,A,202.04,105
105,917,Artilleros,A,196.43,106
106,808,Aeropuerto T-4,A,195.06,107
107,417,Canillas,A,192.36,108
108,918,Pavones,A,190.42,109
109,123,Alto del Arenal,A,189.32,110
110,705,Ascao,A,189.15,111
111,107,Ríos Rosas,A,188.05,112
112,707,Barrio de la Concepción,A,187.87,113
113,704,García Noblejas,A,187.14,114
114,105,Alvarado,A,185.87,115
115,719,Peñagrande,A,185.83,116
116,503,Suanzes,A,185.09,117
117,126,Villa de Vallecas,A,184.78,118
